ProductName,TotalQuantity,TotalSellingValue,TotalBuyValue,Total profit,product,category
TIKDIP522.5EC*40ML,3,1050,570,1440,acaricide,cattle
GRADOMETOR480EC100ML,3,1050,546,1512,termicide,agro
MAXIGROWFOLIAR60ML,3,300,135,495,foliar feed,agro
FUGOLAYERCOMPLEATMEAL50KG,3,10200,9450,2250,feeds,poultry
JEMCHEMMBUZIMAZIWA1KG,3,450,240,630,mineral powder salts,mduzi
GLENVILLESOW&WEANER70KG,3,8700,7800,2700,feeds,pigs
MASTIWOK10ML,3,900,666,702,antibiotics,cattle
FORCE1PLUS135ML,3,900,534,1098,dewormer,cattle
OPTIMIZER100ML,3,1050,621,1287,insecticide,agro
MURTANO-SUPER300FS*10GM,3,450,306,432,insecticide,agro
THUNDER0D145100ML,3,2700,2370,990,insecticide,agro
BEANSCLEAN480SL1L,3,4950,4092,2574,herbicide,agro
KAUSHA480SL200ML,3,900,510,1170,herbicide,agro
PHARMABEEFLICK20KG,3,4200,1620,7740,mineral powder salts,all purpose
HYPROPITDIGESTER250GMHIGHCHEM,3,1050,702,1044,disinfectant,house hold
TINGA-TINGA380SC1L,3,4950,4029,2763,herbicide,agro
EASYGROFLOWER&FRUIT1KG,3,1650,1344,918,foliar feed,agro
BAMAKO700WG5GM,3,450,312,414,insecticide,agro
MAXIGROWFOLIAR200ML,3,750,462,864,foliar feed,agro
AMIGAD057WDG*50GM,3,1650,1248,1206,insecticide,agro
KITUIWHEATPOLLARD1KG,2,90,66,48,feeds,pigs&cattle
VECTOCLORPLUS25ML,2,400,286,228,acaricide,cattle
CIAMEX250GM,2,300,200,200,mineral powder salts,cattle
JEMCHEMMBUZIMAZIWA1KG,2,300,160,280,mineral powder salts,mduzi
LEVACIDEPOULTRY500ML,2,1300,1060,480,dewormer,poultry
OSHOTHANEPLUS1KG,2,1900,1606,588,fungicide,agro
VITALMAZIWA2KG,2,1000,898,204,mineral powder salts,cattle
PROFILE440EC*100ML,2,700,554,292,insecticide,agro
ISACOP50WP500GM,2,1960,1712,496,fungicide,agro
NEWCASTLE+IB500DOSES,2,1100,600,1000,vaccine,poultry
ASCAREXPOWDER30GM,2,300,178,244,dewormer,pigs
MAPATODOGMEAL5KG,2,600,500,200,feeds,pet
CIBUSCHICKSTART100GM,2,400,218,364,supplement,poultry
MACLIKDRYCOW2KG,2,1100,980,240,mineral powder salts,cattle
MINE-LICKJOTO2KG,2,600,280,640,mineral block salts,cattle
CIBUSCHICKSTART25GM,2,200,124,152,supplement,poultry
OMEXFOLIARFEED200ML,2,900,750,300,foliar feed,agro
BETAFOS262.5EC*50ML,2,300,232,136,insecticide,agro
BIOCHEMCHLORINEPOWDER250GM,2,600,340,520,disinfectant,house hold
NORBROOKMILKINGSALVE100GM,2,240,162,156,salve,cattle
COOPERSMILKINGSALVE250GM,2,600,472,256,salve,cattle
LEVAFAS150*150ML,2,400,256,288,dewormer,cattle
KUNGUNIL10ML,2,300,210,180,insecticide,house hold
LEVACIDEPOULTRY100ML,2,500,266,468,dewormer,poultry
VITALJOTO1KG,2,500,344,312,mineral powder salts,cattle
NOBIVACRABIESVACCINE1DOSES,2,400,240,320,vaccine,poultry
ANIMATICCALCYUM1L,2,1700,1348,704,supplement,cattle
ALISERYLWS*100GM,2,1160,950,420,antibiotics,poultry
DELETE050EC20ML,2,400,330,140,acaricide,cattle
MINE-LICKDRYBLOCK2KG,2,600,280,640,mineral block salts,cattle
PEMBECHICKMASH50KG,2,7200,6600,1200,feeds,poultry
TWIGALICKDRYCOW1KG,2,600,452,296,mineral powder salts,cattle
MINE-LICKJOTO3KG,2,800,400,800,mineral block salts,cattle
EASYGROVEGETATIVE120GM,2,200,132,136,foliar feed,agro
KEROL500ML,2,1300,1240,120,disinfectant,house hold
NORBROOKMILKINGSALVE1KG,2,1400,1088,624,salve,cattle
MSVTOXITRAP250GMMSV,2,300,160,280,supplement,all purpose
MINE-LICKJOTO1KG,2,400,220,360,mineral block salts,cattle
CONFIDOR700WG15GM,2,700,430,540,insecticide,agro
INTEGRA800AS25ML,2,340,234,212,sticker,agro
PEMBELAYERSMASH50KG,2,6600,5900,1400,feeds,poultry
VICTORY720WP*1KGLTD),2,3300,2712,1176,fungicide,agro
DOXIN200WS30GM,2,600,442,316,antibiotics,poultry
FUGOCHICKMASH50KG,2,7600,7080,1040,feeds,poultry
MINE-LICKMAZIWA1KG,2,400,240,320,mineral block salts,cattle
